name,price_oil,price_gap,thoi_gian
Xăng RON 95-III,21.970,-540,2024-06-06
Xăng E5 RON 92-II,21.140,-610,2024-06-06
"Dầu DO 0,05S-II",19.420,-320,2024-06-06
Dầu KO,19.550,-380,2024-06-06
Xăng RON 95-III,22.510,-700,2024-05-30
Xăng E5 RON 92-II,21.750,-520,2024-05-30
"Dầu DO 0,05S-II",19.740,-90,2024-05-30
Dầu KO,19.930,30,2024-05-30
Xăng RON 95-III,23.210,80,2024-05-23
Xăng E5 RON 92-II,22.270,160,2024-05-23
"Dầu DO 0,05S-II",19.830,-40,2024-05-23
Dầu KO,19.900,0,2024-05-23
Xăng RON 95-III,23.130,-410,2024-05-16
Xăng E5 RON 92-II,22.110,-510,2024-05-16
"Dầu DO 0,05S-II",19.870,30,2024-05-16
Dầu KO,19.900,200,2024-05-16
