name,price_oil,price_gap,thoi_gian
Xăng RON 95-III,23.210,80,2024-05-23
Xăng E5 RON 92-II,22.270,160,2024-05-23
"Dầu DO 0,05S-II",19.830,-40,2024-05-23
Dầu KO,19.900,0,2024-05-23
Xăng RON 95-III,23.130,-410,2024-05-16
Xăng E5 RON 92-II,22.110,-510,2024-05-16
"Dầu DO 0,05S-II",19.870,30,2024-05-16
Dầu KO,19.900,200,2024-05-16
Xăng RON 95-III,23.540,-1.410,2024-05-09
Xăng E5 RON 92-II,22.620,-1.290,2024-05-09
"Dầu DO 0,05S-II",19.840,-760,2024-05-09
Dầu KO,19.700,-840,2024-05-09
Xăng RON 95-III,24.950,40,2024-05-02
Xăng E5 RON 92-II,23.910,0,2024-05-02
"Dầu DO 0,05S-II",20.600,-110,2024-05-02
Dầu KO,20.540,-140,2024-05-02
Xăng RON 95-III,24.910,-320,2024-04-25
Xăng E5 RON 92-II,23.910,-310,2024-04-25
"Dầu DO 0,05S-II",20.710,-730,2024-04-25
Dầu KO,20.680,-730,2024-04-25
Xăng RON 95-III,25.230,410,2024-04-17
Xăng E5 RON 92-II,24.220,380,2024-04-17
"Dầu DO 0,05S-II",21.440,-170,2024-04-17
Dầu KO,21.410,-180,2024-04-17
Xăng RON 95-III,24.820,20,2024-04-11
Xăng E5 RON 92-II,23.840,-70,2024-04-11
"Dầu DO 0,05S-II",21.610,630,2024-04-11
Dầu KO,21.590,580,2024-04-11
Xăng RON 95-III,24.800,-10,2024-04-04
Xăng E5 RON 92-II,23.910,290,2024-04-04
"Dầu DO 0,05S-II",20.980,290,2024-04-04
Dầu KO,21.010,140,2024-04-04
Xăng RON 95-III,24.810,530,2024-03-28
Xăng E5 RON 92-II,23.620,410,2024-03-28
"Dầu DO 0,05S-II",20.690,-320,2024-03-28
Dầu KO,20.870,-390,2024-03-28
Xăng RON 95-III,24.280,740,2024-03-21
Xăng E5 RON 92-II,23.210,720,2024-03-21
"Dầu DO 0,05S-II",21.010,470,2024-03-21
Dầu KO,21.260,560,2024-03-21
Xăng RON 95-III,23.540,-10,2024-03-14
Xăng E5 RON 92-II,22.490,-20,2024-03-14
"Dầu DO 0,05S-II",20.540,70,2024-03-14
Dầu KO,20.700,100,2024-03-14
Xăng RON 95-III,23.550,-370,2024-03-07
Xăng E5 RON 92-II,22.510,-240,2024-03-07
"Dầu DO 0,05S-II",20.470,-300,2024-03-07
Dầu KO,20.600,-180,2024-03-07
Xăng RON 95-III,23.920,330,2024-02-29
Xăng E5 RON 92-II,22.750,-840,2024-02-29
"Dầu DO 0,05S-II",20.770,-140,2024-02-29
Dầu KO,20.780,-140,2024-02-29
Xăng RON 95-III,23.590,-320,2024-02-22
Xăng E5 RON 92-II,23.590,760,2024-02-22
"Dầu DO 0,05S-II",20.910,-450,2024-02-22
Dầu KO,20.920,-300,2024-02-22
Xăng RON 95-III,23.910,650,2024-02-15
Xăng E5 RON 92-II,22.830,710,2024-02-15
"Dầu DO 0,05S-II",21.360,660,2024-02-15
Dầu KO,21.220,640,2024-02-15
Xăng RON 95-III,23.260,-900,2024-02-08
Xăng E5 RON 92-II,22.120,-790,2024-02-08
"Dầu DO 0,05S-II",20.700,-290,2024-02-08
Dầu KO,20.580,-340,2024-02-08
Xăng RON 95-III,24.160,760,2024-02-01
Xăng E5 RON 92-II,22.910,740,2024-02-01
"Dầu DO 0,05S-II",20.990,620,2024-02-01
Dầu KO,20.920,380,2024-02-01
Xăng RON 95-III,23.400,920,2024-01-25
Xăng E5 RON 92-II,22.170,760,2024-01-25
"Dầu DO 0,05S-II",20.370,180,2024-01-25
Dầu KO,20.540,10,2024-01-25
Xăng RON 95-III,22.480,550,2024-01-18
Xăng E5 RON 92-II,21.410,370,2024-01-18
"Dầu DO 0,05S-II",20.190,490,2024-01-18
Dầu KO,20.530,200,2024-01-18
